Alveolar_retention_five_mg,Alveolar_retention_h_mg,Alveolar_retention_w_mg,Alveolar_retention_y_mg,Alveolar_surface_cm2,Clearance,Deposited_per_area_five_mg/cm2,Deposited_per_area_h_mg/cm2,Deposited_per_area_w_mg/cm2,Deposited_per_area_y_mg/cm2,Exposure,Exposure_time_d,Exposure_time_h,Exposure_time_w,Lung_Model,Substance,agg_diameter_nm,density_g/cm2,pp_diameter_nm,sex
0.08800000000000001,,,,792000.0,Yes,,1.11e-07,,,constant,1.0,4.0,1.0,Yeh/Schum Symmetric,MgO,852.2,0.16897257699999998,46.66,man
,0.8686,159.7,29.5,792000.0,Yes,1.1e-06,,0.000201641,3.72e-05,constant,5.0,8.0,1820.0,Yeh/Schum Symmetric,MgO,852.2,0.16897257699999998,46.66,man
0.4952,,,,792000.0,Yes,,6.25e-07,,,constant,1.0,4.0,1.0,Yeh/Schum Symmetric,MgO,46.66,3.14,46.66,man
,4.886,898.2,165.9,792000.0,Yes,6.17e-06,,0.001134091,0.00020947,constant,5.0,8.0,1820.0,Yeh/Schum Symmetric,MgO,46.66,3.14,46.66,man
0.5268,,,,792000.0,Yes,,6.65e-07,,,constant,1.0,24.0,1.0,Yeh/Schum Symmetric,MgO,852.2,0.16897257699999998,46.66,man
2.963,,,,792000.0,Yes,,3.74e-06,,,constant,1.0,24.0,1.0,Yeh/Schum Symmetric,MgO,46.66,3.14,46.66,man
0.0889,,,,792000.0,Yes,,1.12e-07,,,constant,1.0,4.0,1.0,Yeh/Schum Symmetric,MgO,852.2,0.17704224,46.66,man
,0.8769,161.2,29.8,792000.0,Yes,1.11e-06,,0.000203535,3.76e-05,constant,5.0,8.0,1820.0,Yeh/Schum Symmetric,MgO,852.2,0.17704224,46.66,man
0.5318,,,,792000.0,Yes,,6.709999999999999e-07,,,constant,1.0,24.0,1.0,Yeh/Schum Symmetric,MgO,852.2,0.17704224,46.66,man
0.1335,,,,792000.0,Yes,,1.69e-07,,,constant,1.0,4.0,1.0,Yeh/Schum Symmetric,ZnO,842.6,0.647970299,61.24,man
,1.317,242.1,44.7,792000.0,Yes,1.66e-06,,0.000305682,5.6399999999999995e-05,constant,5.0,8.0,1820.0,Yeh/Schum Symmetric,ZnO,842.6,0.647970299,61.24,man
0.4411,,,,792000.0,Yes,,5.57e-07,,,constant,1.0,4.0,1.0,Yeh/Schum Symmetric,ZnO,61.24,6.155,61.24,man
,4.351,800.0,147.7,792000.0,Yes,5.49e-06,,0.001010101,0.00018649,constant,5.0,8.0,1820.0,Yeh/Schum Symmetric,ZnO,61.24,6.155,61.24,man
0.7985,,,,792000.0,Yes,,1.01e-06,,,constant,1.0,24.0,1.0,Yeh/Schum Symmetric,ZnO,842.6,0.647970299,61.24,man
2.639,,,,792000.0,Yes,,3.33e-06,,,constant,1.0,24.0,1.0,Yeh/Schum Symmetric,ZnO,61.24,6.155,61.24,man
0.134,,,,792000.0,Yes,,1.69e-07,,,constant,1.0,4.0,1.0,Yeh/Schum Symmetric,ZnO,842.6,0.654171909,61.24,man
,1.3219999999999998,243.0,44.9,792000.0,Yes,1.67e-06,,0.000306818,5.67e-05,constant,5.0,8.0,1820.0,Yeh/Schum Symmetric,ZnO,842.6,0.654171909,61.24,man
0.8018,,,,792000.0,Yes,,1.01e-06,,,constant,1.0,24.0,1.0,Yeh/Schum Symmetric,ZnO,842.6,0.654171909,61.24,man
0.1258,,,,792000.0,Yes,,1.59e-07,,,constant,1.0,4.0,1.0,Yeh/Schum Symmetric,TiO2,569.3,0.7582928940000001,103.2,man
,1.2409999999999999,228.2,42.1,792000.0,Yes,1.57e-06,,0.000288131,5.3200000000000006e-05,constant,5.0,8.0,1820.0,Yeh/Schum Symmetric,TiO2,569.3,0.7582928940000001,103.2,man
0.3135,,,,792000.0,Yes,,3.96e-07,,,constant,1.0,4.0,1.0,Yeh/Schum Symmetric,TiO2,103.2,3.78,103.2,man
,3.093,568.6,105.0,792000.0,Yes,3.91e-06,,0.000717929,0.000132576,constant,5.0,8.0,1820.0,Yeh/Schum Symmetric,TiO2,103.2,3.78,103.2,man
0.7527,,,,792000.0,Yes,,9.5e-07,,,constant,1.0,24.0,1.0,Yeh/Schum Symmetric,TiO2,569.3,0.7582928940000001,103.2,man
1.876,,,,792000.0,Yes,,2.37e-06,,,constant,1.0,24.0,1.0,Yeh/Schum Symmetric,TiO2,103.2,3.78,103.2,man
0.1261,,,,792000.0,Yes,,1.59e-07,,,constant,1.0,4.0,1.0,Yeh/Schum Symmetric,TiO2,569.3,0.764607624,103.2,man
,1.244,228.7,42.2,792000.0,Yes,1.57e-06,,0.000288763,5.3299999999999995e-05,constant,5.0,8.0,1820.0,Yeh/Schum Symmetric,TiO2,569.3,0.764607624,103.2,man
0.7544,,,,792000.0,Yes,,9.53e-07,,,constant,1.0,24.0,1.0,Yeh/Schum Symmetric,TiO2,569.3,0.764607624,103.2,man
0.1175,,,,792000.0,Yes,,1.48e-07,,,constant,1.0,4.0,1.0,Yeh/Schum Symmetric,CuO,418.6,0.259156808,70.9,man
,1.16,213.2,39.4,792000.0,Yes,1.46e-06,,0.000269192,4.970000000000001e-05,constant,5.0,8.0,1820.0,Yeh/Schum Symmetric,CuO,418.6,0.259156808,70.9,man
0.4078,,,,792000.0,Yes,,5.15e-07,,,constant,1.0,4.0,1.0,Yeh/Schum Symmetric,CuO,70.9,6.153,70.9,man
,4.023,739.6,136.6,792000.0,Yes,5.08e-06,,0.000933838,0.000172475,constant,5.0,8.0,1820.0,Yeh/Schum Symmetric,CuO,70.9,6.153,70.9,man
0.7033,,,,792000.0,Yes,,8.88e-07,,,constant,1.0,24.0,1.0,Yeh/Schum Symmetric,CuO,418.6,0.259156808,70.9,man
2.44,,,,792000.0,Yes,,3.08e-06,,,constant,1.0,24.0,1.0,Yeh/Schum Symmetric,CuO,70.9,6.153,70.9,man
0.1177,,,,792000.0,Yes,,1.49e-07,,,constant,1.0,4.0,1.0,Yeh/Schum Symmetric,CuO,418.6,0.26579659699999997,70.9,man
,1.161,213.5,39.4,792000.0,Yes,1.47e-06,,0.00026957099999999997,4.970000000000001e-05,constant,5.0,8.0,1820.0,Yeh/Schum Symmetric,CuO,418.6,0.26579659699999997,70.9,man
0.7043,,,,792000.0,Yes,,8.890000000000001e-07,,,constant,1.0,24.0,1.0,Yeh/Schum Symmetric,CuO,418.6,0.26579659699999997,70.9,man
0.1404,,,,792000.0,Yes,,1.7699999999999998e-07,,,constant,1.0,4.0,1.0,Yeh/Schum Symmetric,Fe2O3,308.0,0.27833174,10.25,man
,1.385,254.6,47.0,792000.0,Yes,1.75e-06,,0.000321465,5.93e-05,constant,5.0,8.0,1820.0,Yeh/Schum Symmetric,Fe2O3,308.0,0.27833174,10.25,man
0.2363,,,,792000.0,Yes,,2.98e-07,,,constant,1.0,4.0,1.0,Yeh/Schum Symmetric,Fe2O3,10.25,4.4830000000000005,10.25,man
,2.331,428.6,79.1,792000.0,Yes,2.94e-06,,0.000541162,9.990000000000002e-05,constant,5.0,8.0,1820.0,Yeh/Schum Symmetric,Fe2O3,10.25,4.4830000000000005,10.25,man
